Full Name,Birth Date (YYYY-MM-DD),Birth City,Birth State/Province (if applicable),Birth Country,Primary Profession,Primary Research Area,Major Contribution
J.K. Orwell 57,1966-04-13,Paris,,France,Dramatic Playwright,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Kurt Williams 58,1920-08-02,Moscow,,Russia,Fantasy & Adventure Writer,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Chimamanda Garcia Marquez 59,1930-01-25,Santiago,,Chile,Science Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Roald Rowling 60,1940-09-20,San Francisco,California,United States,Literary Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Defining Magical Realism in World Literature and Latin American Prose
Chimamanda O'Neill 61,1918-05-10,Vancouver,British Columbia,Canada,Dramatic Playwright,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
J.K. Neruda 62,1958-06-20,Tokyo,,Japan,Science Fiction Author,Magical Realism & Post-Colonial Cultural Identity in Fiction,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Franz Kafka 63,1955-06-23,Sydney,New South Wales,Australia,Science Fiction Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Albert Dahl 64,1960-10-03,Paris,,France,Screenwriter & Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
J.R.R. Miller 65,1900-05-12,Chicago,Illinois,United States,Screenwriter & Playwright,Magical Realism & Post-Colonial Cultural Identity in Fiction,Defining Magical Realism in World Literature and Latin American Prose
Zadie Camus 66,1929-05-06,San Francisco,California,United States,Poetry Laureate,Science Fiction Speculative Futures & Philosophical Exploration,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Simone R.R. Martin 67,1960-10-21,San Francisco,California,United States,Poet & Literary Critic,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Haruki Borges 68,1934-02-03,Prague,,Czech Republic,Poet & Literary Critic,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Defining Magical Realism in World Literature and Latin American Prose
Agatha Williams 69,1911-01-20,Tokyo,,Japan,Comic Book Writer,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
C.S. Vonnegut 70,1950-08-11,Chicago,Illinois,United States,Comic Book Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Tennessee O'Neill 71,1982-07-02,New York City,New York,United States,Poetry Laureate,Magical Realism & Post-Colonial Cultural Identity in Fiction,Shaping Speculative Science Fiction and Laws of Robotics
Maya Lee 72,1944-10-01,Lagos,,Nigeria,Novelist & Author,Science Fiction Speculative Futures & Philosophical Exploration,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Toni De Beauvoir 73,1989-05-16,New York City,New York,United States,Screenwriter & Playwright,Science Fiction Speculative Futures & Philosophical Exploration,Shaping Speculative Science Fiction and Laws of Robotics
Tennessee Asimov 74,1937-08-27,San Francisco,California,United States,Novelist & Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Defining Magical Realism in World Literature and Latin American Prose
Ursula Hemingway 75,1928-07-20,Boston,Massachusetts,United States,Comic Book Writer,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Arthur Adichie 76,1957-07-15,Toronto,Ontario,Canada,Comic Book Writer,Science Fiction Speculative Futures & Philosophical Exploration,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
J.R.R. Orwell 77,1963-07-15,Prague,,Czech Republic,Screenwriter & Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Isaac Morrison 78,1949-12-19,London,,United Kingdom,Comic Book Writer,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Advancing Modernist Narrative Techniques and Psychological Realism
Isaac Asimov 79,1983-08-28,Dublin,,Ireland,Screenwriter & Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Tennessee Moore 80,1952-11-20,Vancouver,British Columbia,Canada,Non-Fiction & Essayist,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Defining Magical Realism in World Literature and Latin American Prose
Isaac Christie 81,1959-04-23,San Francisco,California,United States,Dramatic Playwright,Science Fiction Speculative Futures & Philosophical Exploration,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Tennessee Murakami 82,1942-11-11,London,,United Kingdom,Screenplay Writer,Magical Realism & Post-Colonial Cultural Identity in Fiction,Defining Magical Realism in World Literature and Latin American Prose
Arthur Asimov 83,1933-01-14,Prague,,Czech Republic,Non-Fiction & Essayist,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Tom Foster Wallace 84,1970-03-21,Berlin,,Germany,Fantasy & Adventure Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Advancing Modernist Narrative Techniques and Psychological Realism
Samuel Sedaris 85,1939-04-20,London,,United Kingdom,Screenwriter & Playwright,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Defining Magical Realism in World Literature and Latin American Prose
George Orwell 86,1919-12-05,Vancouver,British Columbia,Canada,Poetry Laureate,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Advancing Modernist Narrative Techniques and Psychological Realism
Alan Camus 87,1917-10-13,Dublin,,Ireland,Graphic Novelist,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
Maya Pinter 88,1948-05-14,Lagos,,Nigeria,Science Fiction Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Haruki Herbert 89,1916-02-13,Edinburgh,,United Kingdom,Graphic Novelist,Magical Realism & Post-Colonial Cultural Identity in Fiction,Defining Magical Realism in World Literature and Latin American Prose
Harold Foster Wallace 90,1932-03-18,Dublin,,Ireland,Non-Fiction & Essayist,Magical Realism & Post-Colonial Cultural Identity in Fiction,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Isaac Rowling 91,1964-05-24,New York City,New York,United States,Graphic Novelist,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Agatha Clarke 92,1988-05-10,Moscow,,Russia,Literary Fiction Author,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Neil Dahl 93,1977-05-11,Tokyo,,Japan,Novelist & Author,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Frank De Beauvoir 94,1932-11-13,Prague,,Czech Republic,Non-Fiction & Essayist,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Tennessee Garcia Marquez 95,1960-01-11,Berlin,,Germany,Comic Book Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Gabriel Dahl 96,1983-05-22,Dublin,,Ireland,Literary Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Maya Smith 97,1931-06-12,Buenos Aires,,Argentina,Dramatic Playwright,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Albert Williams 98,1903-06-03,Dublin,,Ireland,Screenwriter & Playwright,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
David Kafka 99,1948-07-24,Vienna,,Austria,Screenwriter & Playwright,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Samuel Vonnegut 100,1976-09-24,San Francisco,California,United States,Comic Book Writer,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Roald Pinter 101,1924-04-16,Vancouver,British Columbia,Canada,Literary Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Shaping Speculative Science Fiction and Laws of Robotics
Arthur Woolf 102,1955-03-04,Sydney,New South Wales,Australia,Dramatic Playwright,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Neil Orwell 103,1915-12-18,Edinburgh,,United Kingdom,Poet & Literary Critic,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Stan Orwell 104,1986-11-19,Paris,,France,Poetry Laureate,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Ray Orwell 105,1902-04-03,Berlin,,Germany,Novelist & Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
George Neruda 106,1936-10-20,Prague,,Czech Republic,Screenplay Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Tennessee Asimov 107,1905-05-22,Dublin,,Ireland,Non-Fiction & Essayist,Science Fiction Speculative Futures & Philosophical Exploration,Shaping Speculative Science Fiction and Laws of Robotics
Federico Garcia Lorca 108,1931-07-10,New York City,New York,United States,Dramatic Playwright,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Shaping Speculative Science Fiction and Laws of Robotics
Chimamanda Garcia Marquez 109,1988-12-28,Lagos,,Nigeria,Dramatic Playwright,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Advancing Modernist Narrative Techniques and Psychological Realism
J.K. Vonnegut 110,1962-02-10,Moscow,,Russia,Novelist & Author,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Advancing Modernist Narrative Techniques and Psychological Realism
Neil Bradbury 111,1969-05-04,London,,United Kingdom,Dramatic Playwright,Magical Realism & Post-Colonial Cultural Identity in Fiction,Shaping Speculative Science Fiction and Laws of Robotics
Haruki Rowling 112,1936-06-06,Tokyo,,Japan,Science Fiction Author,Science Fiction Speculative Futures & Philosophical Exploration,Shaping Speculative Science Fiction and Laws of Robotics
Simone Murakami 113,1953-06-27,Moscow,,Russia,Poetry Laureate,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Ray Murakami 114,1968-04-19,Tokyo,,Japan,Dramatic Playwright,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
Maya Foster Wallace 115,1967-03-02,Buenos Aires,,Argentina,Literary Fiction Author,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Revolutionizing Graphic Novels and Mature Comic Book Storytelling
C.S. O'Neill 116,1924-09-28,Toronto,Ontario,Canada,Non-Fiction & Essayist,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Chimamanda Adichie 117,1970-04-14,Paris,,France,Literary Fiction Author,Science Fiction Speculative Futures & Philosophical Exploration,Shaping Speculative Science Fiction and Laws of Robotics
George Tolkien 118,1945-11-19,Prague,,Czech Republic,Science Fiction Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Harold Orwell 119,1911-06-07,London,,United Kingdom,Screenplay Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Tom Adichie 120,1907-01-01,New York City,New York,United States,Dramatic Playwright,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
Harold Tolkien 121,1900-07-16,Santiago,,Chile,Non-Fiction & Essayist,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Advancing Modernist Narrative Techniques and Psychological Realism
Zadie Gaiman 122,1909-10-24,Toronto,Ontario,Canada,Graphic Novelist,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Alan Vonnegut 123,1939-05-16,Prague,,Czech Republic,Dramatic Playwright,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Neil Borges 124,1978-12-26,Vancouver,British Columbia,Canada,Screenwriter & Playwright,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Ernest Williams 125,1932-02-18,Sydney,New South Wales,Australia,Fantasy & Adventure Writer,Science Fiction Speculative Futures & Philosophical Exploration,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Samuel Smith 126,1950-09-05,Sydney,New South Wales,Australia,Poet & Literary Critic,Magical Realism & Post-Colonial Cultural Identity in Fiction,Shaping Speculative Science Fiction and Laws of Robotics
Haruki Lee 127,1920-08-08,Prague,,Czech Republic,Screenplay Writer,Magical Realism & Post-Colonial Cultural Identity in Fiction,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
J.K. Huxley 128,1900-12-08,Vienna,,Austria,Comic Book Writer,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Chimamanda King 129,1955-11-11,Lagos,,Nigeria,Science Fiction Author,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Isaac Sedaris 130,1904-11-13,Berlin,,Germany,Dramatic Playwright,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Gabriel Foster Wallace 131,1953-10-22,Tokyo,,Japan,Non-Fiction & Essayist,Science Fiction Speculative Futures & Philosophical Exploration,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
C.S. Beckett 132,1938-06-12,Chicago,Illinois,United States,Dramatic Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Ursula Miller 133,1913-06-25,San Francisco,California,United States,Screenplay Writer,Cinematic Screenwriting & Dramatic Three-Act Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Alan Vonnegut 134,1917-03-04,Chicago,Illinois,United States,Poetry Laureate,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Zadie Angelou 135,1967-09-14,Vienna,,Austria,Science Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Franz Stoppard 136,1961-01-13,Vancouver,British Columbia,Canada,Fantasy & Adventure Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
George Orwell 137,1966-11-04,London,,United Kingdom,Dramatic Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Chimamanda Garcia Lorca 138,1945-10-01,San Francisco,California,United States,Poetry Laureate,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Chimamanda King 139,1946-04-11,New York City,New York,United States,Dramatic Playwright,Magical Realism & Post-Colonial Cultural Identity in Fiction,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Chimamanda Lee 140,1926-02-22,Buenos Aires,,Argentina,Science Fiction Author,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Pablo Morrison 141,1953-03-23,Moscow,,Russia,Screenplay Writer,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Defining Magical Realism in World Literature and Latin American Prose
Tom Vonnegut 142,1947-09-11,Chicago,Illinois,United States,Screenplay Writer,Magical Realism & Post-Colonial Cultural Identity in Fiction,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Ernest Orwell 143,1966-06-26,Vancouver,British Columbia,Canada,Comic Book Writer,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
Harold R.R. Martin 144,1984-11-27,Moscow,,Russia,Graphic Novelist,Science Fiction Speculative Futures & Philosophical Exploration,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Tennessee Borges 145,1948-05-16,Lagos,,Nigeria,Screenwriter & Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Zadie Beckett 146,1984-09-07,San Francisco,California,United States,Screenwriter & Playwright,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
